PMID_Type,Sentence_Index,Token,Tag
22006095_T,0,Serotonin,B-TRIVIAL
22006095_T,0,receptor,O
22006095_T,0,2A,O
22006095_T,0,(,O
22006095_T,0,HTR2A,O
22006095_T,0,),O
22006095_T,0,gene,O
22006095_T,0,polymorphism,O
22006095_T,0,predicts,O
22006095_T,0,treatment,O
22006095_T,0,response,O
22006095_T,0,to,O
22006095_T,0,venlafaxine,B-TRIVIAL
22006095_T,0,XR,I-TRIVIAL
22006095_T,0,in,O
22006095_T,0,generalized,O
22006095_T,0,anxiety,O
22006095_T,0,disorder,O
22006095_T,0,.,O
22006095_A,0,Generalized,O
22006095_A,0,anxiety,O
22006095_A,0,disorder,O
22006095_A,0,(,O
22006095_A,0,GAD,O
22006095_A,0,),O
22006095_A,0,is,O
22006095_A,0,a,O
22006095_A,0,chronic,O
22006095_A,0,psychiatric,O
22006095_A,0,disorder,O
22006095_A,0,with,O
22006095_A,0,significant,O
22006095_A,0,morbidity,O
22006095_A,0,and,O
22006095_A,0,mortality,O
22006095_A,0,.,O
22006095_A,1,.,O